"Annual Electricity, Net [MWh]",Capacity Factor [-],Electricity Produced [MW],Rated Power [MW],Solar Multiple [-],Total Area [acre]
,,-7.436209309895833,,,
,,163.56006276855865,,,
,,172.86795138888888,,,
,,173.31289930555556,,,
,,172.70251736111112,,,
,,171.4859548611111,,,
,,170.26630208333333,,,
,,173.51399305555555,,,
,,154.59005208333335,,,
,,144.43057291666668,,,
,,131.34881944444444,,,
,,118.58133680555555,,,
,,92.78272569444445,,,
,,-0.9327959526909723,,,
,,-0.9327423773871528,,,
,,-0.9326725260416666,,,
,,-0.9325884331597222,,,
,,-0.9324981011284722,,,
,,-0.9324092610677084,,,
,,-0.932325439453125,,,
,,-0.9322471788194444,,,
,,-0.9321742078993056,,,
,,-0.9321060519748264,,,
,,-1.2450470648871528,,,
,,-6.586826714409722,,,
,,161.4903032646825,,,
,,173.75628472222223,,,
,,174.0314409722222,,,
,,173.41857638888888,,,
,,171.50309027777777,,,
,,170.06703125,,,
,,174.6717361111111,,,
,,154.26053819444445,,,
,,143.917421875,,,
,,130.59072916666668,,,
,,117.60480902777778,,,
,,55.04005642361111,,,
,,-0.9327681477864583,,,
,,-0.9327144368489584,,,
,,-0.9326470947265625,,,
,,-0.9325675455729167,,,
,,-0.9324818929036458,,,
,,-0.9323964436848958,,,
,,-0.9323147922092014,,,
,,-0.9322384304470486,,,
,,-0.9321677652994792,,,
,,-0.9321015760633681,,,
,,-1.244831271701389,,,
,,-8.449231499565972,,,
,,103.54366102430555,,,
,,172.70503472222222,,,
,,173.32866319444443,,,
,,172.33036458333333,,,
,,171.07456597222222,,,
,,169.8812326388889,,,
,,164.57878472222222,,,
,,154.9804513888889,,,
,,144.94694444444445,,,
,,131.94787326388888,,,
,,119.24072916666667,,,
,,47.80459635416667,,,
,,-0.9328102620442709,,,
,,-0.9327614339192708,,,
,,-0.9326996527777778,,,
,,-0.9326237657335069,,,
,,-0.9325403510199652,,,
,,-0.9324571397569444,,,
,,-0.9323788791232639,,,
,,-0.9323087565104167,,,
,,-0.9322420925564237,,,
,,-0.9321761745876737,,,
,,-1.2471221245659723,,,
,,-7.1510498046875,,,
,,163.99398621749546,,,
,,176.6534375,,,
,,171.00192708333333,,,
,,175.88380208333334,,,
,,177.10541666666666,,,
,,145.41453125,,,
,,55.30766059027778,,,
,,-1.0980373128255208,,,
,,-1.1616937934027778,,,
,,-1.1613604058159723,,,
,,22.234962582058376,,,
,,-0.932863294813368,,,
,,-0.932819078233507,,,
,,-0.9327664523654514,,,
,,-0.9326961941189236,,,
,,-0.9326135932074653,,,
,,-0.932527601453993,,,
,,-0.9324441867404514,,,
,,-0.9323654513888889,,,
,,-0.9322918023003472,,,
,,-0.9322219509548612,,,
,,-0.9321534559461806,,,
,,-1.248139919704861,,,
,,-5.98452392578125,,,
,,160.30459017711382,,,
,,174.92484375,,,
,,175.4427777777778,,,
,,174.90868055555555,,,
,,172.82833333333335,,,
,,171.22414930555556,,,
,,175.84727430555554,,,
,,150.89755208333332,,,
,,140.73551215277777,,,
,,127.58377604166667,,,
,,114.74565104166666,,,
,,35.76420355902778,,,
,,-0.9328011067708334,,,
